counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list4_trials.thisRepN,list4_trials.thisTrialN,list4_trials.thisN,list4_trials.thisIndex,list4_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,31982,001,2025-10-17_11h17.30.492,HW_LDT_1,2024.2.4,MacIntel,63.29113924,,,,,,,,,,,,,,,,,,,,,61.7962,61.9949,61.9949,62.4959,62.4967,63.3958,m,1,0.8895,,[],[],[],[],[],[],[],0.8895,1,63.3959,63.8949,0,15,15,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31982,001,2025-10-17_11h17.30.492,HW_LDT_1,2024.2.4,MacIntel,63.29113924,,,,,,,,,,,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. On some trials you will be asked to report whether the item you just saw was in cursive or print. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.9021,66.7622,,0.004249132,-0.39328125,1,0,0,instr_done_button_3,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31982,001,2025-10-17_11h17.30.492,HW_LDT_1,2024.2.4,MacIntel,63.29113924,,,,,,,,,,,,,,,,,,,,,66.7827,66.9615,66.9615,67.4626,,,,,,,,,,,,,,1.649,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,1,0,67.4643,69.1288,z,1,1.649,,[],[],[],[],[],[],[],69.1291,71.1294,71.1298,71.1337,[],[],[],[],[],[],[],,71.1339,71.1355,0.004249132,-0.39328125,0,0,0,,0,0,0,23,1,4,RL,linefal,cursive,linefal_c.png,,,,,,
,,,,31982,001,2025-10-17_11h17.30.492,HW_LDT_1,2024.2.4,MacIntel,63.29113924,,,,,,,,,,,,,,,,,,,,,71.1364,71.3292,71.3292,71.8283,,,,,,,,,,,,,,0.9393,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,2,0,71.829,72.7794,z,1,0.9393,,[],[],[],[],[],[],[],72.7795,74.7783,74.7783,74.7788,[],[],[],[],[],[],[],,74.7788,74.779,0.004249132,-0.39328125,0,0,0,,0,1,1,11,1,4,RL,clisimal,print,clisimal_p.png,,,,,,
,,,,31982,001,2025-10-17_11h17.30.492,HW_LDT_1,2024.2.4,MacIntel,63.29113924,,,,,,,,,,,,,,,,,,,,,74.7802,74.9792,74.9793,75.4783,,,,,,,,,,,,,,0.8369,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,3,0,75.4789,76.3292,z,1,0.8369,,[],[],[],[],[],[],[],76.3294,78.329,78.3291,78.3293,[],[],[],[],[],[],[],,78.3293,78.3295,0.004249132,-0.39328125,0,0,0,,0,2,2,63,1,4,TL,miskate,print,miskate_p.png,,,,,,
,,,,31982,001,2025-10-17_11h17.30.492,HW_LDT_1,2024.2.4,MacIntel,63.29113924,,,,,,,,,,,,,,,,,,,,,78.331,78.5291,78.5292,79.0292,,,,,,,,,,,,,,0.7511,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,4,1,79.0299,79.7958,m,1,0.7511,,[],[],[],[],[],[],[],79.7958,81.7957,81.7958,85.2957,[],[],[],[],[],[],[],z,85.2958,85.296,0.004249132,-0.39328125,0,0,0,,0,3,3,112,1,4,word,LIBERAL,cursive,liberal_c.png,3.4867,,,,,
,,,,31982,001,2025-10-17_11h17.30.492,HW_LDT_1,2024.2.4,MacIntel,63.29113924,,,,,,,,,,,,,,,,,,,,,85.2971,85.4957,85.4958,85.9958,,,,,,,,,,,,,,1.7345,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,5,0,85.9965,87.7458,m,0,1.7345,,[],[],[],[],[],[],[],87.746,89.7451,89.7453,89.7456,[],[],[],[],[],[],[],,89.7457,89.7458,0.004249132,-0.39328125,0,0,0,,0,4,4,39,1,4,RL,relone,cursive,relone_c.png,,,,,,
,,,,31982,001,2025-10-17_11h17.30.492,HW_LDT_1,2024.2.4,MacIntel,63.29113924,,,,,,,,,,,,,,,,,,,,,89.7471,89.9451,89.9451,90.4455,,,,,,,,,,,,,,1.2136,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,6,0,90.4461,91.6624,z,1,1.2136,,[],[],[],[],[],[],[],91.6625,93.6623,93.6624,93.6629,[],[],[],[],[],[],[],,93.6629,93.663,0.004249132,-0.39328125,0,0,0,,0,5,5,49,1,4,RL,vesofity,cursive,vesofity_c.png,,,,,,
,,,,31982,001,2025-10-17_11h17.30.492,HW_LDT_1,2024.2.4,MacIntel,63.29113924,,,,,,,,,,,,,,,,,,,,,93.6644,93.8618,93.8618,94.3624,,,,,,,,,,,,,,1.2704,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,7,1,94.3629,95.6451,z,0,1.2704,,[],[],[],[],[],[],[],95.6451,97.6458,97.6459,99.6459,[],[],[],[],[],[],[],z,99.646,99.6462,0.004249132,-0.39328125,0,0,0,,0,6,6,139,1,4,word,REGULAR,cursive,regular_c.png,1.9914,,,,,
,,,,31982,001,2025-10-17_11h17.30.492,HW_LDT_1,2024.2.4,MacIntel,63.29113924,,,,,,,,,,,,,,,,,,,,,99.6474,99.8458,99.8458,100.3448,,,,,,,,,,,,,,0.6812,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,8,1,100.3453,101.029,m,1,0.6812,,[],[],[],[],[],[],[],101.0291,103.0291,103.0291,104.2292,[],[],[],[],[],[],[],m,104.2293,104.2295,0.004249132,-0.39328125,0,0,0,,0,7,7,84,1,4,word,BELOVED,print,beloved_p.png,1.1996,,,,,
