counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list1_trials.thisRepN,list1_trials.thisTrialN,list1_trials.thisN,list1_trials.thisIndex,list1_trials.ran,list_id,item_type,string,font,stim_file,break_done_touch.clicked_name,End.started,End.stopped
,,,,31651,001,2025-10-18_19h46.19.365,HW_LDT_1,2024.2.4,Win32,111.1111111,,,,,,,,,,,,,,,,,,,,252.7101,252.9089,252.9089,253.4094,,,,,,,,,,,,1.076,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,41,0,253.4098,254.4862,,0,[0.3692708333333333],[-0.31666666666666665],[1],[0],[0],[1.075999999999965],"[""button_right_main""]",254.4862,256.4808,256.4808,256.4809,[],[],[],[],[],[],[],,256.481,256.481,0.369270833,-0.316666667,0,0,0,,0,40,40,109,1,1,word,GRATEFUL,print,grateful_p.png,,,
,,,,31651,001,2025-10-18_19h46.19.365,HW_LDT_1,2024.2.4,Win32,111.1111111,,,,,,,,,,,,,,,,,,,,256.4817,256.6815,256.6815,257.1819,,,,,,,,,,,,0.8172,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,42,0,257.1822,257.9998,,0,[0.38333333333333336],[-0.3182291666666667],[1],[0],[0],[0.817199999928448],"[""button_right_main""]",257.9999,259.9948,259.9949,259.995,[],[],[],[],[],[],[],,259.9951,259.9951,0.383333333,-0.318229167,0,0,0,,0,41,41,117,1,1,word,MARINE,print,marine_p.png,,,
,,,,31651,001,2025-10-18_19h46.19.365,HW_LDT_1,2024.2.4,Win32,111.1111111,,,,,,,,,,,,,,,,,,,,259.9961,260.1949,260.195,260.696,,,,,,,,,,,,1.5012,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,43,0,260.6965,262.1982,,0,[-0.33177083333333335],[-0.32864583333333336],[1],[0],[0],[1.5012000000476746],"[""button_left_main""]",262.1982,264.1927,264.1928,264.1929,[],[],[],[],[],[],[],,264.193,264.1931,-0.331770833,-0.328645833,0,0,0,,0,42,42,111,1,1,word,INDICATE,cursive,indicate_c.png,,,
,,,,31651,001,2025-10-18_19h46.19.365,HW_LDT_1,2024.2.4,Win32,111.1111111,,,,,,,,,,,,,,,,,,,,264.1939,264.3931,264.3931,264.8973,,,,,,,,,,,,0.8802,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,44,0,264.8978,265.7782,,0,[-0.32760416666666664],[-0.321875],[1],[0],[0],[0.8802000000476937],"[""button_left_main""]",265.7784,267.7736,267.7736,267.7738,[],[],[],[],[],[],[],,267.7738,267.7739,-0.328645833,-0.3234375,0,0,0,,0,43,43,23,1,1,RL,potugar,cursive,potugar_c.png,,,
,,,,31651,001,2025-10-18_19h46.19.365,HW_LDT_1,2024.2.4,Win32,111.1111111,,,,,,,,,,,,,,,,,,,,267.7746,267.9737,267.9737,268.4742,,,,,,,,,,,,0.8753,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,45,0,268.4747,269.3503,,0,[0.3807291666666667],[-0.32447916666666665],[1],[0],[0],[0.8753000000714906],"[""button_right_main""]",269.3503,271.3454,271.3455,271.3456,[],[],[],[],[],[],[],,271.3456,271.3457,0.380729167,-0.324479167,0,0,0,,0,44,44,91,1,1,word,CARDINAL,print,cardinal_p.png,,,
,,,,31651,001,2025-10-18_19h46.19.365,HW_LDT_1,2024.2.4,Win32,111.1111111,,,,,,,,,,,,,,,,,,,,271.3466,271.5457,271.5458,272.0462,,,,,,,,,,,,0.6836,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,46,0,272.0464,272.7303,,0,[0.37083333333333335],[-0.3307291666666667],[1],[0],[0],[0.6835999999046294],"[""button_right_main""]",272.7304,274.7255,274.7256,274.7258,[],[],[],[],[],[],[],,274.7258,274.7259,0.370833333,-0.330729167,0,0,0,,0,45,45,131,1,1,word,POPULAR,cursive,popular_c.png,,,
,,,,31651,001,2025-10-18_19h46.19.365,HW_LDT_1,2024.2.4,Win32,111.1111111,,,,,,,,,,,,,,,,,,,,274.727,274.9258,274.9258,275.4266,,,,,,,,,,,,0.9088,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,47,0,275.427,276.3362,,0,[-0.3328125],[-0.31197916666666664],[1],[0],[0],[0.908800000071551],"[""button_left_main""]",276.3362,278.331,278.3311,278.3313,[],[],[],[],[],[],[],,278.3313,278.3314,-0.333854167,-0.3125,0,0,0,,0,46,46,63,1,1,TL,molibe,cursive,molibe_c.png,,,
,,,,31651,001,2025-10-18_19h46.19.365,HW_LDT_1,2024.2.4,Win32,111.1111111,,,,,,,,,,,,,,,,,,,,278.3324,278.5312,278.5312,279.032,,,,,,,,,,,,0.942,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,48,0,279.0325,279.9749,,0,[0.384375],[-0.2890625],[1],[0],[0],[0.9420000000000073],"[""button_right_main""]",279.975,281.9695,281.9695,281.9695,[],[],[],[],[],[],[],,281.9696,281.9697,0.384375,-0.2890625,0,0,0,,0,47,47,84,1,1,word,BELOVED,print,beloved_p.png,,,
,,,,31651,001,2025-10-18_19h46.19.365,HW_LDT_1,2024.2.4,Win32,111.1111111,,,,,,,,,,,,,,,,,,,,281.9703,282.1699,282.1699,282.6709,,,,,,,,,,,,1.4511,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,49,0,282.6713,284.1227,,0,[0.3692708333333333],[-0.321875],[1],[0],[0],[1.451100000023871],"[""button_right_main""]",284.1228,286.1178,286.1178,286.118,[],[],[],[],[],[],[],,286.1181,286.1182,0.369270833,-0.321875,0,0,0,,0,48,48,93,1,1,word,CEREMONY,cursive,ceremony_c.png,,,
,,,,31651,001,2025-10-18_19h46.19.365,HW_LDT_1,2024.2.4,Win32,111.1111111,,,,,,,,,,,,,,,,,,,,286.1191,286.3181,286.3181,286.8189,,,,,,,,,,,,1.8764,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,50,0,286.8193,288.6963,,0,[0.353125],[-0.321875],[1],[0],[0],[1.8764000000953729],"[""button_right_main""]",288.6965,290.6914,290.6914,290.6916,[],[],[],[],[],[],[],,290.6916,290.6917,0.352604167,-0.322395833,0,0,0,,0,49,49,135,1,1,word,QUALITY,cursive,quality_c.png,,,
