counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,key_resp_probe.rt,key_resp_probe.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list1_trials.thisRepN,list1_trials.thisTrialN,list1_trials.thisN,list1_trials.thisIndex,list1_trials.ran,list_id,item_type,string,font,stim_file,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,31851,001,2025-10-16_16h59.14.122,HW_LDT_1,2024.2.4,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,261.6522,261.8504,261.8505,262.3507,,,,,,,,,,,,,,0.7823,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,50,1,262.3513,263.1381,m,1,0.7823,,[],[],[],[],[],[],[],263.1381,265.1399,265.14,266.2719,[],[],[],[],[],[],[],m,1.1272,,266.2719,266.2721,0.082324219,-0.415867332,0,0,0,,0,49,49,145,1,1,word,RESUME,print,resume_p.png,,,,
,,,,31851,001,2025-10-16_16h59.14.122,HW_LDT_1,2024.2.4,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,266.2731,266.4718,266.4719,266.9718,,,,,,,,,,,,,,0.7125,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,51,0,266.9724,267.6886,m,1,0.7125,,[],[],[],[],[],[],[],267.6886,269.6839,269.684,269.6842,[],[],[],[],[],[],[],,,,269.6843,269.6844,0.082324219,-0.415867332,0,0,0,,0,50,50,132,1,1,word,PROPOSAL,cursive,proposal_c.png,,,,
,,,,31851,001,2025-10-16_16h59.14.122,HW_LDT_1,2024.2.4,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,269.6856,269.8797,269.8797,270.3839,,,,,,,,,,,,,,0.6849,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,52,1,270.3844,271.0731,z,0,0.6849,,[],[],[],[],[],[],[],271.0732,273.0717,273.0718,274.224,[],[],[],[],[],[],[],z,1.1495,,274.224,274.2241,0.082324219,-0.415867332,0,0,0,,0,51,51,149,1,1,word,SENATOR,cursive,senator_c.png,,,,
,,,,31851,001,2025-10-16_16h59.14.122,HW_LDT_1,2024.2.4,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,274.2253,274.4251,274.4252,274.9254,,,,,,,,,,,,,,0.9109,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,53,0,274.926,275.8433,m,1,0.9109,,[],[],[],[],[],[],[],275.8433,277.8386,277.8386,277.8388,[],[],[],[],[],[],[],,,,277.8389,277.8389,0.082324219,-0.415867332,0,0,0,,0,52,52,146,1,1,word,RETIRE,cursive,retire_c.png,,,,
,,,,31851,001,2025-10-16_16h59.14.122,HW_LDT_1,2024.2.4,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,277.8403,278.0419,278.0419,278.5337,,,,,,,,,,,,,,0.6775,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,54,1,278.5343,279.2173,m,1,0.6775,,[],[],[],[],[],[],[],279.2175,281.2156,281.2156,282.8214,[],[],[],[],[],[],[],z,1.6006,,282.8214,282.8215,0.082324219,-0.415867332,0,0,0,,0,53,53,144,1,1,word,RESIDENT,print,resident_p.png,,,,
,,,,31851,001,2025-10-16_16h59.14.122,HW_LDT_1,2024.2.4,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,282.822,283.0215,283.0215,283.5218,,,,,,,,,,,,,,1.2327,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,55,0,283.5224,284.7557,m,1,1.2327,,[],[],[],[],[],[],[],284.7557,286.7562,286.7563,286.7564,[],[],[],[],[],[],[],,,,286.7565,286.7565,0.082324219,-0.415867332,0,0,0,,0,54,54,143,1,1,word,REMOVAL,cursive,removal_c.png,,,,
,,,,31851,001,2025-10-16_16h59.14.122,HW_LDT_1,2024.2.4,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,286.7577,286.9559,286.956,287.4553,,,,,,,,,,,,,,0.6532,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,56,0,287.4558,288.1141,m,1,0.6532,,[],[],[],[],[],[],[],288.1141,290.1135,290.1136,290.1139,[],[],[],[],[],[],[],,,,290.1139,290.114,0.082324219,-0.415867332,0,0,0,,0,55,55,92,1,1,word,CATEGORY,print,category_p.png,,,,
,,,,31851,001,2025-10-16_16h59.14.122,HW_LDT_1,2024.2.4,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,290.1154,290.313,290.3131,290.8089,,,,,,,,,,,,,,0.7381,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,57,0,290.8094,291.5513,z,1,0.7381,,[],[],[],[],[],[],[],291.5514,293.5481,293.5481,293.5483,[],[],[],[],[],[],[],,,,293.5484,293.5485,0.082324219,-0.415867332,0,0,0,,0,56,56,33,1,1,RL,recile,cursive,recile_c.png,,,,
,,,,31851,001,2025-10-16_16h59.14.122,HW_LDT_1,2024.2.4,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,293.5498,293.748,293.748,294.2436,,,,,,,,,,,,,,1.3655,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,58,0,294.2442,295.6135,z,1,1.3655,,[],[],[],[],[],[],[],295.6136,297.6086,297.6087,297.6089,[],[],[],[],[],[],[],,,,297.609,297.6091,0.082324219,-0.415867332,0,0,0,,0,57,57,76,1,1,TL,stragety,cursive,stragety_c.png,,,,
,,,,31851,001,2025-10-16_16h59.14.122,HW_LDT_1,2024.2.4,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,297.6103,297.8084,297.8085,298.3092,,,,,,,,,,,,,,1.6649,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,59,0,298.3097,299.98,z,1,1.6649,,[],[],[],[],[],[],[],299.98,301.9783,301.9784,301.9786,[],[],[],[],[],[],[],,,,301.9786,301.9788,0.082324219,-0.415867332,0,0,0,,0,58,58,59,1,1,TL,lirebal,cursive,lirebal_c.png,,,,
,,,,31851,001,2025-10-16_16h59.14.122,HW_LDT_1,2024.2.4,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,301.9802,302.1799,302.1799,302.679,,,,,,,,,,,,,,1.6635,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,60,0,302.6796,304.3463,z,1,1.6635,,[],[],[],[],[],[],[],304.3463,306.3427,306.3428,306.343,[],[],[],[],[],[],[],,,,306.343,306.3431,0.082324219,-0.415867332,0,0,0,,0,59,59,72,1,1,TL,remuse,print,remuse_p.png,,,,
,,,,31851,001,2025-10-16_16h59.14.122,HW_LDT_1,2024.2.4,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,306.3444,306.5426,306.5427,307.0427,,,,,,,,,,,,,,0.84,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,61,1,307.0433,307.8876,z,1,0.84,,[],[],[],[],[],[],[],307.8877,309.8845,309.8846,311.4496,[],[],[],[],[],[],[],z,1.5621,,311.4497,311.4498,0.082324219,-0.415867332,0,0,0,,0,60,60,0,1,1,RL,abanemy,cursive,abanemy_c.png,,,,
,,,,31851,001,2025-10-16_16h59.14.122,HW_LDT_1,2024.2.4,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,311.4505,311.6469,311.6469,312.1465,,,,,,,,,,,,,,3.2163,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,62,0,312.1468,315.3637,z,1,3.2163,,[],[],[],[],[],[],[],315.3637,317.3584,317.3585,317.3586,[],[],[],[],[],[],[],,,,317.3587,317.3588,0.082324219,-0.415867332,0,0,0,,0,61,61,26,1,1,RL,quafidy,cursive,quafidy_c.png,,,,
,,,,31851,001,2025-10-16_16h59.14.122,HW_LDT_1,2024.2.4,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,317.3599,317.5594,317.5594,318.0594,,,,,,,,,,,,,,1.0622,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,63,0,318.0599,319.1266,z,1,1.0622,,[],[],[],[],[],[],[],319.1266,321.1269,321.127,321.1271,[],[],[],[],[],[],[],,,,321.1272,321.1273,0.082324219,-0.415867332,0,0,0,,0,62,62,35,1,1,RL,senvilent,cursive,senvilent_c.png,,,,
