counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,key_resp_probe.rt,key_resp_probe.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list1_trials.thisRepN,list1_trials.thisTrialN,list1_trials.thisN,list1_trials.thisIndex,list1_trials.ran,list_id,item_type,string,font,stim_file,break_done_touch.clicked_name,End.started,End.stopped
,,,,31096,001,2025-10-19_19h07.28.808,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,370.4766,370.6752,370.6752,371.1751,,,,,,,,,,,,,,0.82,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,76,0,371.1755,372.0085,m,1,0.82,,[],[],[],[],[],[],[],372.0085,374.0076,374.0076,374.0078,[],[],[],[],[],[],[],,,,374.0079,374.008,0.278177083,-0.181736111,0,0,0,,0,75,75,117,1,1,word,MARINE,print,marine_p.png,,,
,,,,31096,001,2025-10-19_19h07.28.808,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,374.0091,374.2077,374.2077,374.7086,,,,,,,,,,,,,,0.6534,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,77,0,374.7091,375.3752,z,1,0.6534,,[],[],[],[],[],[],[],375.3754,377.3752,377.3753,377.3755,[],[],[],[],[],[],[],,,,377.3755,377.3756,0.278177083,-0.181736111,0,0,0,,0,76,76,62,1,1,TL,mitilary,print,mitilary_p.png,,,
,,,,31096,001,2025-10-19_19h07.28.808,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,377.3769,377.5743,377.5743,378.0743,,,,,,,,,,,,,,0.5885,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,78,1,378.0748,378.6748,m,1,0.5885,,[],[],[],[],[],[],[],378.6749,380.6743,380.6743,382.5755,[],[],[],[],[],[],[],z,1.8878,,382.5756,382.5758,0.278177083,-0.181736111,0,0,0,,0,77,77,147,1,1,word,ROMANTIC,cursive,romantic_c.png,,,
,,,,31096,001,2025-10-19_19h07.28.808,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,382.577,382.7744,382.7744,383.2754,,,,,,,,,,,,,,0.7368,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,79,1,383.2759,384.0255,z,1,0.7368,,[],[],[],[],[],[],[],384.0256,386.0255,386.0256,387.459,[],[],[],[],[],[],[],z,1.4328,,387.459,387.4592,0.278177083,-0.181736111,0,0,0,,0,78,78,2,1,1,RL,asiral,print,asiral_p.png,,,
,,,,31096,001,2025-10-19_19h07.28.808,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,387.4603,387.6588,387.6589,388.1589,,,,,,,,,,,,,,0.8646,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,80,1,388.1595,389.0255,m,1,0.8646,,[],[],[],[],[],[],[],389.0256,391.0246,391.0246,392.5591,[],[],[],[],[],[],[],z,1.5223,,392.5591,400.0254,0.053224826,-0.398554688,1,0,0,,0,79,79,96,1,1,word,CONSIDER,cursive,consider_c.png,break_done_button,,
,,,,31096,001,2025-10-19_19h07.28.808,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,400.0263,400.2247,400.2248,400.7258,,,,,,,,,,,,,,0.7989,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,81,0,400.7265,401.5262,z,1,0.7989,,[],[],[],[],[],[],[],401.5265,403.526,403.5261,403.5262,[],[],[],[],[],[],[],,,,403.5263,403.5263,0.053224826,-0.398554688,0,0,0,,0,80,80,35,1,1,RL,senvilent,cursive,senvilent_c.png,,,
,,,,31096,001,2025-10-19_19h07.28.808,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,403.5276,403.7261,403.7261,404.2261,,,,,,,,,,,,,,0.6368,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,82,0,404.2267,404.8761,z,1,0.6368,,[],[],[],[],[],[],[],404.8762,406.8752,406.8753,406.8754,[],[],[],[],[],[],[],,,,406.8755,406.8755,0.053224826,-0.398554688,0,0,0,,0,81,81,21,1,1,RL,opcifal,print,opcifal_p.png,,,
,,,,31096,001,2025-10-19_19h07.28.808,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,406.8767,407.0762,407.0762,407.5759,,,,,,,,,,,,,,0.6319,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,83,0,407.5764,408.2096,z,1,0.6319,,[],[],[],[],[],[],[],408.2096,410.2096,410.2097,410.2098,[],[],[],[],[],[],[],,,,410.2099,410.21,0.053224826,-0.398554688,0,0,0,,0,82,82,68,1,1,TL,prosopal,cursive,prosopal_c.png,,,
,,,,31096,001,2025-10-19_19h07.28.808,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,410.2112,410.4096,410.4096,410.9087,,,,,,,,,,,,,,0.7547,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,84,0,410.9091,411.6754,m,0,0.7547,,[],[],[],[],[],[],[],411.6755,413.6764,413.6765,413.6767,[],[],[],[],[],[],[],,,,413.6768,413.6769,0.053224826,-0.398554688,0,0,0,,0,83,83,77,1,1,TL,tritube,cursive,tritube_c.png,,,
,,,,31096,001,2025-10-19_19h07.28.808,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,413.6779,413.8764,413.8765,414.3764,,,,,,,,,,,,,,0.5979,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,85,0,414.377,414.9764,z,1,0.5979,,[],[],[],[],[],[],[],414.9764,416.9756,416.9756,416.9758,[],[],[],[],[],[],[],,,,416.9758,416.9759,0.053224826,-0.398554688,0,0,0,,0,84,84,34,1,1,RL,samite,print,samite_p.png,,,
