counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,key_resp.rt,key_resp.duration,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,key_resp_probe.rt,key_resp_probe.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list3_trials.thisRepN,list3_trials.thisTrialN,list3_trials.thisN,list3_trials.thisIndex,list3_trials.ran,list_id,item_type,string,font,stim_file,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,31879,001,2025-10-19_22h05.46.076,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,510.2978,510.4975,510.4975,510.9975,,,,,,,,,,,,,,0.7745,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,96,0,510.998,511.7809,z,1,0.7745,,[],[],[],[],[],[],[],511.7811,513.7808,513.7809,513.781,[],[],[],[],[],[],[],,,,513.7811,513.7811,0.408866347,-0.019063523,0,0,0,,0,95,95,66,1,3,TL,retalive,cursive,retalive_c.png,,,,
,,,,31879,001,2025-10-19_22h05.46.076,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,513.7822,513.9809,513.981,514.4808,,,,,,,,,,,,,,1.1982,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,97,0,514.4813,515.6803,m,0,1.1982,,[],[],[],[],[],[],[],515.6803,517.6809,517.681,517.6811,[],[],[],[],[],[],[],,,,517.6812,517.6812,0.408866347,-0.019063523,0,0,0,,0,96,96,54,1,3,TL,manire,cursive,manire_c.png,,,,
,,,,31879,001,2025-10-19_22h05.46.076,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,517.6823,517.8809,517.8809,518.3809,,,,,,,,,,,,,,0.9079,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,98,0,518.3813,519.2975,m,1,0.9079,,[],[],[],[],[],[],[],519.2976,521.2976,521.2977,521.2979,[],[],[],[],[],[],[],,,,521.298,521.298,0.408866347,-0.019063523,0,0,0,,0,97,97,130,1,3,word,POLICY,print,policy_p.png,,,,
,,,,31879,001,2025-10-19_22h05.46.076,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,521.2992,521.4972,521.4972,521.9975,,,,,,,,,,,,,,0.6152,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,99,0,521.998,522.6141,m,1,0.6152,,[],[],[],[],[],[],[],522.6142,524.6142,524.6142,524.6144,[],[],[],[],[],[],[],,,,524.6144,524.6146,0.408866347,-0.019063523,0,0,0,,0,98,98,152,1,3,word,SPECIMEN,print,specimen_p.png,,,,
,,,,31879,001,2025-10-19_22h05.46.076,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,524.6155,524.8141,524.8142,525.3142,,,,,,,,,,,,,,0.7411,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,100,1,525.3147,526.0643,z,1,0.7411,,[],[],[],[],[],[],[],526.0643,528.0638,528.0638,529.3642,[],[],[],[],[],[],[],m,1.2888,,529.3642,529.3644,0.408866347,-0.019063523,0,0,0,,0,99,99,57,1,3,TL,moredate,cursive,moredate_c.png,,,,
,,,,31879,001,2025-10-19_22h05.46.076,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,529.3653,529.5641,529.5641,530.0642,,,,,,,,,,,,,,1.6979,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,101,0,530.0647,531.7641,z,0,1.6979,,[],[],[],[],[],[],[],531.7643,533.7643,533.7643,533.7645,[],[],[],[],[],[],[],,,,533.7645,533.7646,0.408866347,-0.019063523,0,0,0,,0,100,100,108,1,3,word,FORTUNE,cursive,fortune_c.png,,,,
,,,,31879,001,2025-10-19_22h05.46.076,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,533.7656,533.9642,533.9642,534.4641,,,,,,,,,,,,,,0.8571,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,102,0,534.4646,535.331,z,1,0.8571,,[],[],[],[],[],[],[],535.331,537.3309,537.3309,537.331,[],[],[],[],[],[],[],,,,537.3311,537.3311,0.408866347,-0.019063523,0,0,0,,0,101,101,8,1,3,RL,cocewage,print,cocewage_p.png,,,,
,,,,31879,001,2025-10-19_22h05.46.076,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,537.3322,537.5308,537.5308,538.0309,,,,,,,,,,,,,,0.6968,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,103,0,538.0313,538.7307,z,1,0.6968,,[],[],[],[],[],[],[],538.7308,540.7309,540.7309,540.7311,[],[],[],[],[],[],[],,,,540.7312,540.7312,0.408866347,-0.019063523,0,0,0,,0,102,102,14,1,3,RL,lofase,cursive,lofase_c.png,,,,
,,,,31879,001,2025-10-19_22h05.46.076,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,540.7322,540.9308,540.9309,541.4309,,,,,,,,,,,,,,0.7052,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,104,0,541.4314,542.1475,m,1,0.7052,,[],[],[],[],[],[],[],542.1476,544.1467,544.1467,544.1468,[],[],[],[],[],[],[],,,,544.1469,544.1469,0.408866347,-0.019063523,0,0,0,,0,103,103,112,1,3,word,LIBERAL,print,liberal_p.png,,,,
,,,,31879,001,2025-10-19_22h05.46.076,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,544.1477,544.3475,544.3475,544.8475,,,,,,,,,,,,,,0.7738,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,105,0,544.848,545.6308,z,1,0.7738,,[],[],[],[],[],[],[],545.631,547.6308,547.6308,547.631,[],[],[],[],[],[],[],,,,547.631,547.631,0.408866347,-0.019063523,0,0,0,,0,104,104,26,1,3,RL,repifion,print,repifion_p.png,,,,
