counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,key_resp.rt,key_resp.duration,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list4_trials.thisRepN,list4_trials.thisTrialN,list4_trials.thisN,list4_trials.thisIndex,list4_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,31855,001,2025-10-16_10h29.00.376,HW_LDT_1,2024.2.4,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,,779.632,779.824,779.824,780.324,,,,,,,,,,,,,,3.536,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,123,0,780.324,783.862,m,0,3.536,,[],[],[],[],[],[],[],783.863,785.858,785.858,785.858,[],[],[],[],[],[],[],,785.858,785.858,-0.833562586,0.501375516,0,0,0,,0,122,122,39,1,4,RL,relone,cursive,relone_c.png,,,,,,
,,,,31855,001,2025-10-16_10h29.00.376,HW_LDT_1,2024.2.4,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,,785.859,786.058,786.058,786.558,,,,,,,,,,,,,,2.403,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,124,0,786.558,788.963,z,1,2.403,,[],[],[],[],[],[],[],788.963,790.958,790.958,790.958,[],[],[],[],[],[],[],,790.958,790.958,-0.833562586,0.501375516,0,0,0,,0,123,123,19,1,4,RL,elacodate,cursive,elacodate_c.png,,,,,,
,,,,31855,001,2025-10-16_10h29.00.376,HW_LDT_1,2024.2.4,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,,790.96,791.158,791.158,791.658,,,,,,,,,,,,,,3.536,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,125,1,791.658,795.198,m,0,3.536,,[],[],[],[],[],[],[],795.198,797.192,797.192,798.014,[],[],[],[],[],[],[],z,798.014,798.014,-0.833562586,0.501375516,0,0,0,,0,124,124,45,1,4,RL,spetisic,cursive,spetisic_c.png,0.82,,,,,
,,,,31855,001,2025-10-16_10h29.00.376,HW_LDT_1,2024.2.4,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,,798.015,798.208,798.208,798.708,,,,,,,,,,,,,,1.619,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,126,1,798.708,800.329,m,0,1.619,,[],[],[],[],[],[],[],800.329,802.325,802.325,803.281,[],[],[],[],[],[],[],m,803.281,803.281,-0.833562586,0.501375516,0,0,0,,0,125,125,42,1,4,RL,revune,print,revune_p.png,0.954,,,,,
,,,,31855,001,2025-10-16_10h29.00.376,HW_LDT_1,2024.2.4,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,,803.282,803.475,803.475,803.975,,,,,,,,,,,,,,1.219,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,127,0,803.975,805.196,m,1,1.219,,[],[],[],[],[],[],[],805.197,807.191,807.192,807.192,[],[],[],[],[],[],[],,807.192,807.192,-0.833562586,0.501375516,0,0,0,,0,126,126,119,1,4,word,MEMORY,print,memory_p.png,,,,,,
,,,,31855,001,2025-10-16_10h29.00.376,HW_LDT_1,2024.2.4,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,,807.193,807.391,807.391,807.891,,,,,,,,,,,,,,1.319,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,128,0,807.892,809.213,z,0,1.319,,[],[],[],[],[],[],[],809.213,811.208,811.208,811.208,[],[],[],[],[],[],[],,811.208,811.209,-0.833562586,0.501375516,0,0,0,,0,127,127,158,1,4,word,VELOCITY,cursive,velocity_c.png,,,,,,
,,,,31855,001,2025-10-16_10h29.00.376,HW_LDT_1,2024.2.4,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,,811.209,811.408,811.408,811.908,,,,,,,,,,,,,,0.952,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,129,0,811.909,812.863,m,1,0.952,,[],[],[],[],[],[],[],812.863,814.858,814.858,814.859,[],[],[],[],[],[],[],,814.859,814.859,-0.833562586,0.501375516,0,0,0,,0,128,128,140,1,4,word,RELATIVE,print,relative_p.png,,,,,,
,,,,31855,001,2025-10-16_10h29.00.376,HW_LDT_1,2024.2.4,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,,814.86,815.058,815.058,815.558,,,,,,,,,,,,,,6.703,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,130,0,815.558,822.264,z,0,6.703,,[],[],[],[],[],[],[],822.264,824.258,824.258,824.259,[],[],[],[],[],[],[],,824.259,824.259,-0.833562586,0.501375516,0,0,0,,0,129,129,129,1,4,word,PARENT,cursive,parent_c.png,,,,,,
,,,,31855,001,2025-10-16_10h29.00.376,HW_LDT_1,2024.2.4,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,,824.259,824.458,824.458,824.959,,,,,,,,,,,,,,3.404,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,131,0,824.959,828.365,m,1,3.404,,[],[],[],[],[],[],[],828.365,830.359,830.359,830.359,[],[],[],[],[],[],[],,830.359,830.359,-0.833562586,0.501375516,0,0,0,,0,130,130,153,1,4,word,STOLEN,cursive,stolen_c.png,,,,,,
,,,,31855,001,2025-10-16_10h29.00.376,HW_LDT_1,2024.2.4,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,,830.36,830.558,830.559,831.058,,,,,,,,,,,,,,1.302,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,132,0,831.059,832.363,m,1,1.302,,[],[],[],[],[],[],[],832.363,834.359,834.359,834.359,[],[],[],[],[],[],[],,834.359,834.359,-0.833562586,0.501375516,0,0,0,,0,131,131,90,1,4,word,CAPITAL,print,capital_p.png,,,,,,
