counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,key_resp.rt,key_resp.duration,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list3_trials.thisRepN,list3_trials.thisTrialN,list3_trials.thisN,list3_trials.thisIndex,list3_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,29756,001,2025-10-16_10h39.42.451,HW_LDT_1,2024.2.4,MacIntel,59.17159763,,,,,,,,,,,,,,,,,,,,,,42.6936,42.8925,42.8926,43.3926,43.3932,44.1421,m,1,0.7337,,[],[],[],[],[],[],[],0.7337,1,44.1421,44.6423,0,5,5,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29756,001,2025-10-16_10h39.42.451,HW_LDT_1,2024.2.4,MacIntel,59.17159763,,,,,,,,,,,,,,,,,,,,,,44.6432,44.842,44.8421,45.3425,45.3431,46.0594,m,1,0.7004,,[],[],[],[],[],[],[],0.7004,1,46.0595,46.5592,0,6,6,2,1,1003,WORD,"ID",16,almond,ALMOND,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29756,001,2025-10-16_10h39.42.451,HW_LDT_1,2024.2.4,MacIntel,59.17159763,,,,,,,,,,,,,,,,,,,,,,46.5602,46.7594,46.7594,47.2593,47.2599,48.4754,z,1,1.2003,,[],[],[],[],[],[],[],1.2003,1,48.4756,48.9759,0,7,7,14,1,1015,NW,UN,16,miaber,THRALE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29756,001,2025-10-16_10h39.42.451,HW_LDT_1,2024.2.4,MacIntel,59.17159763,,,,,,,,,,,,,,,,,,,,,,48.9769,49.176,49.1761,49.6751,49.6757,50.592,z,1,0.8994,,[],[],[],[],[],[],[],0.8994,1,50.5921,51.0917,0,8,8,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29756,001,2025-10-16_10h39.42.451,HW_LDT_1,2024.2.4,MacIntel,59.17159763,,,,,,,,,,,,,,,,,,,,,,51.0928,51.2926,51.2926,51.7916,51.7922,52.3593,m,1,0.5496,,[],[],[],[],[],[],[],0.5496,1,52.3593,52.8593,0,9,9,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29756,001,2025-10-16_10h39.42.451,HW_LDT_1,2024.2.4,MacIntel,59.17159763,,,,,,,,,,,,,,,,,,,,,,52.8601,53.0593,53.0593,53.5593,53.5598,54.4426,z,1,0.8657,,[],[],[],[],[],[],[],0.8657,1,54.4426,54.9426,0,10,10,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29756,001,2025-10-16_10h39.42.451,HW_LDT_1,2024.2.4,MacIntel,59.17159763,,,,,,,,,,,,,,,,,,,,,,54.9434,55.1427,55.1427,55.6425,55.6431,56.2754,m,1,0.6165,,[],[],[],[],[],[],[],0.6165,1,56.2755,56.776,0,11,11,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29756,001,2025-10-16_10h39.42.451,HW_LDT_1,2024.2.4,MacIntel,59.17159763,,,,,,,,,,,,,,,,,,,,,,56.7769,56.9756,56.9757,57.4753,57.476,58.1092,m,1,0.6171,,[],[],[],[],[],[],[],0.6171,1,58.1092,58.6093,0,12,12,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29756,001,2025-10-16_10h39.42.451,HW_LDT_1,2024.2.4,MacIntel,59.17159763,,,,,,,,,,,,,,,,,,,,,,58.6102,58.8092,58.8092,59.309,59.3096,59.9758,z,1,0.6494,,[],[],[],[],[],[],[],0.6494,1,59.9759,60.4753,0,13,13,9,1,1010,NW,"ID",33,fariny,FARINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29756,001,2025-10-16_10h39.42.451,HW_LDT_1,2024.2.4,MacIntel,59.17159763,,,,,,,,,,,,,,,,,,,,,,60.4762,60.6757,60.6757,61.1758,61.1763,61.8919,z,1,0.702,,[],[],[],[],[],[],[],0.702,1,61.8919,62.3925,0,14,14,11,1,1012,NW,"ID",16,rashet,RASHET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
