counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list2_trials.thisRepN,list2_trials.thisTrialN,list2_trials.thisN,list2_trials.thisIndex,list2_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,32007,001,2025-11-16_17h08.27.345,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,493.509,493.7087,493.7088,494.2086,,,,,,,,,,,,,,1.1867,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,86,0,494.2091,495.4086,z,1,1.1867,,[],[],[],[],[],[],[],495.4087,497.4089,497.409,497.4092,[],[],[],[],[],[],[],,497.4092,497.4093,-0.103693954,0.111807914,0,0,0,,0,85,85,54,1,2,TL,liretal,cursive,liretal_c.png,,,,,,
,,,,32007,001,2025-11-16_17h08.27.345,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,497.4106,497.6086,497.6087,498.1086,,,,,,,,,,,,,,1.5712,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,87,0,498.1092,499.6921,z,0,1.5712,,[],[],[],[],[],[],[],499.6923,501.6919,501.692,501.6921,[],[],[],[],[],[],[],,501.6922,501.6924,-0.103693954,0.111807914,0,0,0,,0,86,86,117,1,2,word,MARINE,cursive,marine_c.png,,,,,,
,,,,32007,001,2025-11-16_17h08.27.345,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,501.6939,501.8911,501.8912,502.392,,,,,,,,,,,,,,0.8892,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,88,0,502.3926,503.2922,m,0,0.8892,,[],[],[],[],[],[],[],503.2923,505.2922,505.2923,505.2925,[],[],[],[],[],[],[],,505.2926,505.2926,-0.103693954,0.111807914,0,0,0,,0,87,87,79,1,2,TL,vadility,print,vadility_p.png,,,,,,
,,,,32007,001,2025-11-16_17h08.27.345,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,505.2942,505.4919,505.492,505.9919,,,,,,,,,,,,,,2.1025,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,89,0,505.9926,508.1087,m,1,2.1025,,[],[],[],[],[],[],[],508.1088,510.1086,510.1087,510.1089,[],[],[],[],[],[],[],,510.1089,510.109,-0.103693954,0.111807914,0,0,0,,0,88,88,137,1,2,word,RAPIDLY,print,rapidly_p.png,,,,,,
,,,,32007,001,2025-11-16_17h08.27.345,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,510.1105,510.3079,510.3079,510.8083,,,,,,,,,,,,,,1.0816,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,90,0,510.8091,511.8919,m,1,1.0816,,[],[],[],[],[],[],[],511.892,513.8921,513.8922,513.8924,[],[],[],[],[],[],[],,513.8925,513.8925,-0.103693954,0.111807914,0,0,0,,0,89,89,81,1,2,word,ADVISORY,print,advisory_p.png,,,,,,
,,,,32007,001,2025-11-16_17h08.27.345,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,513.8938,514.092,514.0921,514.592,,,,,,,,,,,,,,1.1362,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,91,0,514.5927,515.7422,z,0,1.1362,,[],[],[],[],[],[],[],515.7423,517.7409,517.7409,517.7411,[],[],[],[],[],[],[],,517.7412,517.7413,-0.103693954,0.111807914,0,0,0,,0,90,90,103,1,2,word,DISPUTE,cursive,dispute_c.png,,,,,,
,,,,32007,001,2025-11-16_17h08.27.345,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,517.7425,517.942,517.9421,518.4421,,,,,,,,,,,,,,1.1872,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,92,0,518.4428,519.6421,z,0,1.1872,,[],[],[],[],[],[],[],519.6422,521.6419,521.642,521.6422,[],[],[],[],[],[],[],,521.6422,521.6423,-0.103693954,0.111807914,0,0,0,,0,91,91,135,1,2,word,QUALITY,cursive,quality_c.png,,,,,,
,,,,32007,001,2025-11-16_17h08.27.345,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,521.6437,521.8421,521.8421,522.3417,,,,,,,,,,,,,,0.8819,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,93,0,522.3424,523.2254,z,1,0.8819,,[],[],[],[],[],[],[],523.2255,525.2255,525.2255,525.2257,[],[],[],[],[],[],[],,525.2258,525.2259,-0.103693954,0.111807914,0,0,0,,0,92,92,11,1,2,RL,formuke,print,formuke_p.png,,,,,,
,,,,32007,001,2025-11-16_17h08.27.345,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,525.2273,525.4252,525.4254,525.9253,,,,,,,,,,,,,,0.6866,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,94,0,525.9259,526.6253,m,1,0.6866,,[],[],[],[],[],[],[],526.6254,528.6254,528.6254,528.6257,[],[],[],[],[],[],[],,528.6257,528.6259,-0.103693954,0.111807914,0,0,0,,0,93,93,96,1,2,word,CONSIDER,print,consider_p.png,,,,,,
,,,,32007,001,2025-11-16_17h08.27.345,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,528.6272,528.8244,528.8245,529.3244,,,,,,,,,,,,,,1.0561,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,95,0,529.3251,530.391,z,1,1.0561,,[],[],[],[],[],[],[],530.3911,532.3921,532.3921,532.3923,[],[],[],[],[],[],[],,532.3923,532.3924,-0.103693954,0.111807914,0,0,0,,0,94,94,47,1,2,TL,crinimal,cursive,crinimal_c.png,,,,,,
