counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list4_trials.thisRepN,list4_trials.thisTrialN,list4_trials.thisN,list4_trials.thisIndex,list4_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_touch.clicked_name,End.started,End.stopped
,,,,32034,001,2025-10-16_21h19.19.033,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,433.8137,434.0122,434.0122,434.5122,,,,,,,,,,,,,,2.3157,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,78,0,434.5127,436.8291,z,1,2.3157,,[],[],[],[],[],[],[],436.8291,438.8286,438.8287,438.8289,[],[],[],[],[],[],[],,438.8289,438.829,0.036712903,-0.279897977,0,0,0,,0,77,77,13,1,4,RL,crisival,cursive,crisival_c.png,,,,,
,,,,32034,001,2025-10-16_21h19.19.033,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,438.8301,439.0288,439.0288,439.5287,,,,,,,,,,,,,,2.8222,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,79,0,439.5293,442.3622,m,1,2.8222,,[],[],[],[],[],[],[],442.3623,444.3622,444.3622,444.3624,[],[],[],[],[],[],[],,444.3624,444.3625,0.036712903,-0.279897977,0,0,0,,0,78,78,131,1,4,word,POPULAR,print,popular_p.png,,,,,
,,,,32034,001,2025-10-16_21h19.19.033,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,444.3635,444.5622,444.5622,445.0621,,,,,,,,,,,,,,2.3288,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,80,0,445.0626,447.3948,z,1,2.3288,,[],[],[],[],[],[],[],447.3949,449.3954,449.3955,449.3957,[],[],[],[],[],[],[],,449.3957,469.8788,0.073400228,-0.385852725,1,0,0,,0,79,79,59,1,4,TL,fornute,cursive,fornute_c.png,,,,,
,,,,32034,001,2025-10-16_21h19.19.033,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,469.8798,470.0788,470.0788,470.5787,,,,,,,,,,,,,,1.6051,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,81,0,470.5791,472.1956,m,1,1.6051,,[],[],[],[],[],[],[],472.1958,474.1953,474.1954,474.1956,[],[],[],[],[],[],[],,474.1957,474.1957,0.073400228,-0.385852725,0,0,0,,0,80,80,84,1,4,word,BELOVED,print,beloved_p.png,,,,,
,,,,32034,001,2025-10-16_21h19.19.033,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,474.1967,474.3954,474.3955,474.8954,,,,,,,,,,,,,,0.782,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,82,0,474.8959,475.6787,z,1,0.782,,[],[],[],[],[],[],[],475.6789,477.6787,477.6788,477.6789,[],[],[],[],[],[],[],,477.6789,477.6791,0.073400228,-0.385852725,0,0,0,,0,81,81,57,1,4,TL,etidor,print,etidor_p.png,,,,,
,,,,32034,001,2025-10-16_21h19.19.033,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,477.68,477.8788,477.8788,478.3787,,,,,,,,,,,,,,1.2549,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,83,0,478.3792,479.6455,z,1,1.2549,,[],[],[],[],[],[],[],479.6456,481.6453,481.6455,481.6456,[],[],[],[],[],[],[],,481.6456,481.6457,0.073400228,-0.385852725,0,0,0,,0,82,82,41,1,4,RL,rebicent,cursive,rebicent_c.png,,,,,
,,,,32034,001,2025-10-16_21h19.19.033,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,481.6467,481.8454,481.8454,482.3454,,,,,,,,,,,,,,2.6382,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,84,0,482.3459,484.9954,z,1,2.6382,,[],[],[],[],[],[],[],484.9955,486.9954,486.9954,486.9956,[],[],[],[],[],[],[],,486.9956,486.9957,0.073400228,-0.385852725,0,0,0,,0,83,83,42,1,4,RL,revune,print,revune_p.png,,,,,
,,,,32034,001,2025-10-16_21h19.19.033,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,486.9967,487.1954,487.1954,487.6954,,,,,,,,,,,,,,0.5962,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,85,0,487.6959,488.2951,z,0,0.5962,,[],[],[],[],[],[],[],488.2951,490.2953,490.2953,490.2955,[],[],[],[],[],[],[],,490.2955,490.2955,0.073400228,-0.385852725,0,0,0,,0,84,84,114,1,4,word,LOCATE,cursive,locate_c.png,,,,,
,,,,32034,001,2025-10-16_21h19.19.033,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,490.2965,490.4954,490.4954,490.9954,,,,,,,,,,,,,,1.055,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,86,0,490.9959,492.062,m,1,1.055,,[],[],[],[],[],[],[],492.0622,494.0621,494.0621,494.0623,[],[],[],[],[],[],[],,494.0623,494.0624,0.073400228,-0.385852725,0,0,0,,0,85,85,80,1,4,word,ACADEMY,print,academy_p.png,,,,,
,,,,32034,001,2025-10-16_21h19.19.033,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,494.0634,494.2616,494.2617,494.762,,,,,,,,,,,,,,0.705,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,87,1,494.7624,495.4788,m,1,0.705,,[],[],[],[],[],[],[],495.4789,497.4786,497.4787,498.7622,[0.2838151894293732],[-0.3235975502806361],[1],[0],[0],[1.2833000000118773],"[""button_right_probe""]",,498.7622,498.7623,0.283815189,-0.32359755,1,0,0,,0,86,86,122,1,4,word,MOBILE,print,mobile_p.png,,,,,
