counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list1_trials.thisRepN,list1_trials.thisTrialN,list1_trials.thisN,list1_trials.thisIndex,list1_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_touch.clicked_name,End.started,End.stopped
,,,,31637,001,2025-10-15_16h16.24.588,HW_LDT_1,2024.2.4,MacIntel,107.5268817,,,,,,,,,,,,,,,,,,,,,140.103,140.3001,140.3001,140.7967,,,,,,,,,,,,,,0.7211,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,2,1,140.7974,141.5245,m,1,0.7211,,[],[],[],[],[],[],[],141.5246,143.5257,143.5258,146.0325,[],[],[],[],[],[],[],m,146.0325,146.0326,0.306477348,-0.321705522,0,0,0,,0,1,1,142,1,1,word,REMOTE,print,remote_p.png,2.5057,,,,
,,,,31637,001,2025-10-15_16h16.24.588,HW_LDT_1,2024.2.4,MacIntel,107.5268817,,,,,,,,,,,,,,,,,,,,,146.0333,146.2301,146.2302,146.7308,,,,,,,,,,,,,,2.0863,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,3,0,146.7311,148.8227,z,0,2.0863,,[],[],[],[],[],[],[],148.8227,150.8227,150.8227,150.8231,[],[],[],[],[],[],[],,150.8231,150.8233,0.241389716,-0.109465939,0,0,0,,0,2,2,110,1,1,word,HERITAGE,cursive,heritage_c.png,,,,,
,,,,31637,001,2025-10-15_16h16.24.588,HW_LDT_1,2024.2.4,MacIntel,107.5268817,,,,,,,,,,,,,,,,,,,,,150.8245,151.0227,151.0228,151.5213,,,,,,,,,,,,,,1.366,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,4,0,151.5222,152.8933,z,1,1.366,,[],[],[],[],[],[],[],152.8934,154.8934,154.8936,154.8937,[],[],[],[],[],[],[],,154.8937,154.8938,0.241389716,-0.109465939,0,0,0,,0,3,3,20,1,1,RL,nunewical,print,nunewical_p.png,,,,,
,,,,31637,001,2025-10-15_16h16.24.588,HW_LDT_1,2024.2.4,MacIntel,107.5268817,,,,,,,,,,,,,,,,,,,,,154.8946,155.0935,155.0936,155.5933,,,,,,,,,,,,,,0.8735,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,5,0,155.594,156.4697,m,1,0.8735,,[],[],[],[],[],[],[],156.4698,158.4675,158.4676,158.4678,[],[],[],[],[],[],[],,158.4679,158.4681,0.241389716,-0.109465939,0,0,0,,0,4,4,145,1,1,word,RESUME,print,resume_p.png,,,,,
,,,,31637,001,2025-10-15_16h16.24.588,HW_LDT_1,2024.2.4,MacIntel,107.5268817,,,,,,,,,,,,,,,,,,,,,158.4695,158.669,158.6691,159.1686,,,,,,,,,,,,,,2.1923,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,6,0,159.1693,161.3674,z,0,2.1923,,[],[],[],[],[],[],[],161.3675,163.3633,163.3635,163.3638,[],[],[],[],[],[],[],,163.3639,163.3641,0.241389716,-0.109465939,0,0,0,,0,5,5,101,1,1,word,DELICATE,cursive,delicate_c.png,,,,,
,,,,31637,001,2025-10-15_16h16.24.588,HW_LDT_1,2024.2.4,MacIntel,107.5268817,,,,,,,,,,,,,,,,,,,,,163.3649,163.5627,163.5629,164.062,,,,,,,,,,,,,,1.6499,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,7,0,164.0626,165.7171,z,1,1.6499,,[],[],[],[],[],[],[],165.7172,167.7178,167.718,167.7183,[],[],[],[],[],[],[],,167.7184,167.7185,0.241389716,-0.109465939,0,0,0,,0,6,6,73,1,1,TL,ronamtic,cursive,ronamtic_c.png,,,,,
,,,,31637,001,2025-10-15_16h16.24.588,HW_LDT_1,2024.2.4,MacIntel,107.5268817,,,,,,,,,,,,,,,,,,,,,167.7199,167.9178,167.9178,168.4134,,,,,,,,,,,,,,0.9452,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,8,1,168.414,169.3642,m,1,0.9452,,[],[],[],[],[],[],[],169.3643,171.359,171.359,173.9445,[-0.2703249007936508],[-0.2573784722222222],[1],[0],[0],[2.5854000000357757],"[""button_left_probe""]",,173.9446,173.9447,-0.270324901,-0.257378472,1,0,0,,0,7,7,95,1,1,word,COMEDY,cursive,comedy_c.png,,,,,
,,,,31637,001,2025-10-15_16h16.24.588,HW_LDT_1,2024.2.4,MacIntel,107.5268817,,,,,,,,,,,,,,,,,,,,,173.9456,174.142,174.142,174.6422,,,,,,,,,,,,,,2.7302,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,9,0,174.643,177.3798,z,1,2.7302,,[],[],[],[],[],[],[],177.3799,179.3789,179.3789,179.3792,[],[],[],[],[],[],[],,179.3794,179.3795,-0.014045966,-0.139413856,0,0,0,,0,8,8,58,1,1,TL,incidate,cursive,incidate_c.png,,,,,
,,,,31637,001,2025-10-15_16h16.24.588,HW_LDT_1,2024.2.4,MacIntel,107.5268817,,,,,,,,,,,,,,,,,,,,,179.3807,179.5814,179.5814,180.0757,,,,,,,,,,,,,,1.2645,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,10,0,180.0764,181.347,z,1,1.2645,,[],[],[],[],[],[],[],181.3471,183.3462,183.3463,183.3466,[],[],[],[],[],[],[],,183.3466,183.3468,-0.014045966,-0.139413856,0,0,0,,0,9,9,9,1,1,RL,docirant,cursive,docirant_c.png,,,,,
,,,,31637,001,2025-10-15_16h16.24.588,HW_LDT_1,2024.2.4,MacIntel,107.5268817,,,,,,,,,,,,,,,,,,,,,183.348,183.5456,183.5457,184.0466,,,,,,,,,,,,,,0.6657,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,11,0,184.0471,184.7183,m,1,0.6657,,[],[],[],[],[],[],[],184.7183,186.7138,186.7139,186.714,[],[],[],[],[],[],[],,186.7142,186.7144,-0.014045966,-0.139413856,0,0,0,,0,10,10,90,1,1,word,CAPITAL,print,capital_p.png,,,,,
