counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,key_resp.rt,key_resp.duration,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list3_trials.thisRepN,list3_trials.thisTrialN,list3_trials.thisN,list3_trials.thisIndex,list3_trials.ran,list_id,item_type,string,font,stim_file,break_done_touch.clicked_name,End.started,End.stopped
,,,,32151,001,2025-10-16_21h06.54.726,HW_LDT_1,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,172.8731,173.0725,173.0726,173.573,,,,,,,,,,,,,,1.7671,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,2,0,173.5736,175.3417,,0,[-0.3316666603088379],[-0.3233333587646484],[1],[0],[0],[1.7670999999940307],"[""button_left_main""]",175.3418,177.3397,177.3397,177.3399,[],[],[],[],[],[],[],,177.3399,177.34,-0.170000013,-0.331666692,0,0,0,,0,1,1,18,1,3,RL,onegator,print,onegator_p.png,,,
,,,,32151,001,2025-10-16_21h06.54.726,HW_LDT_1,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,177.3409,177.5398,177.5399,178.0396,,,,,,,,,,,,,,4.7182,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,3,0,178.0403,182.7591,,0,[-0.20166664123535155],[-0.2900000254313151],[1],[0],[0],[4.718199999988087],"[""button_left_main""]",182.7591,184.7589,184.7589,184.7591,[],[],[],[],[],[],[],,184.7591,184.7591,-0.052499962,-0.488333321,0,0,0,,0,2,2,34,1,3,TL,aminal,cursive,aminal_c.png,,,
,,,,32151,001,2025-10-16_21h06.54.726,HW_LDT_1,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,184.76,184.958,184.958,185.4576,,,,,,,,,,,,,,2.565,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,4,0,185.4581,188.0236,,0,[-0.36666666666666664],[-0.3158333460489909],[1],[0],[0],[2.5649999999999977],"[""button_left_main""]",188.0237,190.0227,190.0228,190.023,[],[],[],[],[],[],[],,190.0231,190.0231,-0.089166641,-0.353333346,0,0,0,,0,3,3,36,1,3,TL,carema,cursive,carema_c.png,,,
,,,,32151,001,2025-10-16_21h06.54.726,HW_LDT_1,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,190.0239,190.2229,190.223,190.723,,,,,,,,,,,,,,1.0176,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,5,0,190.7238,191.7419,,0,[-0.32083333333333336],[-0.31666666666666665],[1],[0],[0],[1.0176000000089402],"[""button_left_main""]",191.7419,193.7408,193.7409,193.7411,[],[],[],[],[],[],[],,193.7412,193.7412,-0.028333346,-0.3375,0,0,0,,0,4,4,10,1,3,RL,efibor,print,efibor_p.png,,,
,,,,32151,001,2025-10-16_21h06.54.726,HW_LDT_1,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,193.7422,193.9402,193.9403,194.441,,,,,,,,,,,,,,0.9816,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,6,0,194.4416,195.4242,,0,[0.25083332061767577],[-0.33250001271565754],[1],[0],[0],[0.9816000000089389],"[""button_right_main""]",195.4243,197.424,197.424,197.4243,[],[],[],[],[],[],[],,197.4244,197.4245,0.053333346,-0.303333346,0,0,0,,0,5,5,118,1,3,word,MEDICINE,print,medicine_p.png,,,
,,,,32151,001,2025-10-16_21h06.54.726,HW_LDT_1,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,197.4255,197.6235,197.6236,198.1236,,,,,,,,,,,,,,0.8173,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,7,0,198.1241,198.9419,,0,[0.3233333587646484],[-0.325],[1],[0],[0],[0.8173000000118691],"[""button_right_main""]",198.942,200.9403,200.9404,200.9405,[],[],[],[],[],[],[],,200.9405,200.941,0.094166692,-0.315000025,0,0,0,,0,6,6,73,1,3,TL,speficic,print,speficic_p.png,,,
,,,,32151,001,2025-10-16_21h06.54.726,HW_LDT_1,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,200.9419,201.1403,201.1403,201.64,,,,,,,,,,,,,,2.2323,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,8,0,201.6406,203.8733,,0,[-0.2875],[-0.29083334604899086],[1],[0],[0],[2.2322999999969966],"[""button_left_main""]",203.8735,205.8751,205.8751,205.8752,[],[],[],[],[],[],[],,205.8753,205.8754,-0.061666679,-0.299166679,0,0,0,,0,7,7,31,1,3,RL,trilude,print,trilude_p.png,,,
,,,,32151,001,2025-10-16_21h06.54.726,HW_LDT_1,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,205.8762,206.0738,206.0739,206.5738,,,,,,,,,,,,,,2.0985,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,9,0,206.5744,208.6735,,0,[-0.2899999936421712],[-0.3158333460489909],[1],[0],[0],[2.0985000000000014],"[""button_left_main""]",208.6735,210.6739,210.6739,210.6744,[],[],[],[],[],[],[],,210.6744,210.6744,0.036666679,-0.325,0,0,0,,0,8,8,78,1,3,TL,vecolity,cursive,vecolity_c.png,,,
,,,,32151,001,2025-10-16_21h06.54.726,HW_LDT_1,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,210.6753,210.8755,210.8755,211.3737,,,,,,,,,,,,,,1.0013,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,10,0,211.3742,212.376,,0,[0.32916666666666666],[-0.27250003814697266],[1],[0],[0],[1.0012999999970589],"[""button_right_main""]",212.3762,214.3743,214.3743,214.3745,[],[],[],[],[],[],[],,214.3746,214.3747,0.064166705,-0.2875,0,0,0,,0,9,9,89,1,3,word,CAPACITY,cursive,capacity_c.png,,,
,,,,32151,001,2025-10-16_21h06.54.726,HW_LDT_1,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,214.3756,214.5742,214.5742,215.0742,,,,,,,,,,,,,,3.0684,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,11,0,215.0746,218.1436,,0,[-0.3024999936421712],[-0.32083333333333336],[1],[0],[0],[3.0683999999910156],"[""button_left_main""]",218.1437,220.1405,220.1406,220.1407,[],[],[],[],[],[],[],,220.1408,220.1408,-0.015833346,-0.314166705,0,0,0,,0,10,10,14,1,3,RL,lofase,cursive,lofase_c.png,,,
