counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list3_trials.thisRepN,list3_trials.thisTrialN,list3_trials.thisN,list3_trials.thisIndex,list3_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_touch.clicked_name,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,31856,001,2025-10-19_16h39.51.915,HW_LDT_1,2024.2.4,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,386.5586,386.7733,386.7733,387.2607,,,,,,,,,,,,,,1.6793,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,53,0,387.2614,388.9459,m,1,1.6793,,[],[],[],[],[],[],[],388.946,390.9421,390.9421,390.9424,[],[],[],[],[],[],[],,390.9424,390.9425,-0.150219298,-0.165570175,0,0,0,,0,52,52,94,1,3,word,CLINICAL,print,clinical_p.png,,,,,,,
,,,,31856,001,2025-10-19_16h39.51.915,HW_LDT_1,2024.2.4,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,390.9432,391.143,391.1431,391.6428,,,,,,,,,,,,,,1.7171,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,54,0,391.6433,393.361,m,1,1.7171,,[],[],[],[],[],[],[],393.3611,395.3623,395.3623,395.3625,[],[],[],[],[],[],[],,395.3625,395.3627,-0.150219298,-0.165570175,0,0,0,,0,53,53,116,1,3,word,MARGINAL,print,marginal_p.png,,,,,,,
,,,,31856,001,2025-10-19_16h39.51.915,HW_LDT_1,2024.2.4,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,395.3637,395.5617,395.5617,396.062,,,,,,,,,,,,,,2.2844,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,55,1,396.0625,398.3477,m,1,2.2844,,[],[],[],[],[],[],[],398.3478,400.3489,400.3489,401.1838,[],[],[],[],[],[],[],z,401.1839,401.184,-0.150219298,-0.165570175,0,0,0,,0,54,54,86,1,3,word,BESIDE,cursive,beside_c.png,0.8342,,,,,,
,,,,31856,001,2025-10-19_16h39.51.915,HW_LDT_1,2024.2.4,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,401.1847,401.3828,401.3828,401.8832,,,,,,,,,,,,,,1.1587,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,56,1,401.8845,403.0443,z,1,1.1587,,[],[],[],[],[],[],[],403.0444,405.0474,405.0476,405.9402,[],[],[],[],[],[],[],z,405.9402,405.9405,-0.150219298,-0.165570175,0,0,0,,0,55,55,66,1,3,TL,retalive,cursive,retalive_c.png,0.8886,,,,,,
,,,,31856,001,2025-10-19_16h39.51.915,HW_LDT_1,2024.2.4,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,405.9417,406.1318,406.1318,406.6412,,,,,,,,,,,,,,1.3414,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,57,0,406.642,407.9842,m,1,1.3414,,[],[],[],[],[],[],[],407.9842,409.9758,409.9759,409.9763,[],[],[],[],[],[],[],,409.9763,409.9764,-0.150219298,-0.165570175,0,0,0,,0,56,56,103,1,3,word,DISPUTE,print,dispute_p.png,,,,,,,
,,,,31856,001,2025-10-19_16h39.51.915,HW_LDT_1,2024.2.4,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,409.9776,410.1723,410.1723,410.6675,,,,,,,,,,,,,,1.2034,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,58,0,410.668,411.8777,z,1,1.2034,,[],[],[],[],[],[],[],411.8777,413.8791,413.8792,413.8795,[],[],[],[],[],[],[],,413.8797,413.8799,-0.150219298,-0.165570175,0,0,0,,0,57,57,15,1,3,RL,mifikary,cursive,mifikary_c.png,,,,,,,
,,,,31856,001,2025-10-19_16h39.51.915,HW_LDT_1,2024.2.4,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,413.8813,414.0791,414.0792,414.5797,,,,,,,,,,,,,,1.3048,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,59,0,414.5805,415.8862,m,1,1.3048,,[],[],[],[],[],[],[],415.8862,417.8902,417.8902,417.8903,[],[],[],[],[],[],[],,417.8904,417.8904,-0.150219298,-0.165570175,0,0,0,,0,58,58,131,1,3,word,POPULAR,print,popular_p.png,,,,,,,
,,,,31856,001,2025-10-19_16h39.51.915,HW_LDT_1,2024.2.4,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,417.8913,418.0817,418.0817,418.5823,,,,,,,,,,,,,,1.48,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,60,1,418.5829,420.0667,z,0,1.48,,[],[],[],[],[],[],[],420.0669,422.0756,422.0756,426.5209,[],[],[],[],[],[],[],z,426.521,426.521,-0.150219298,-0.165570175,0,0,0,,0,59,59,121,1,3,word,MISTAKE,cursive,mistake_c.png,4.4405,,,,,,
,,,,31856,001,2025-10-19_16h39.51.915,HW_LDT_1,2024.2.4,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,426.5224,426.7119,426.7121,427.2133,,,,,,,,,,,,,,1.8066,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,61,0,427.215,429.0225,m,1,1.8066,,[],[],[],[],[],[],[],429.0226,431.0239,431.0239,431.024,[],[],[],[],[],[],[],,431.024,431.0241,-0.150219298,-0.165570175,0,0,0,,0,60,60,106,1,3,word,ELABORATE,print,elaborate_p.png,,,,,,,
,,,,31856,001,2025-10-19_16h39.51.915,HW_LDT_1,2024.2.4,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,431.0253,431.2238,431.2239,431.7242,,,,,,,,,,,,,,1.0296,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,62,1,431.7248,432.7552,m,1,1.0296,,[],[],[],[],[],[],[],432.7553,434.7554,434.7554,435.8103,[],[],[],[],[],[],[],m,435.8104,435.8104,-0.150219298,-0.165570175,0,0,0,,0,61,61,91,1,3,word,CARDINAL,print,cardinal_p.png,1.0517,,,,,,
