counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,key_resp.rt,key_resp.duration,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,key_resp_probe.rt,key_resp_probe.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list3_trials.thisRepN,list3_trials.thisTrialN,list3_trials.thisN,list3_trials.thisIndex,list3_trials.ran,list_id,item_type,string,font,stim_file,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,728.525,728.723,728.723,729.223,,,,,,,,,,,,,,1.41,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,143,0,729.223,730.64,m,1,1.41,,[],[],[],[],[],[],[],730.64,732.64,732.64,732.64,[],[],[],[],[],[],[],,,,732.64,732.641,-0.049710983,0.230635838,0,0,0,,0,142,142,91,1,3,word,CARDINAL,print,cardinal_p.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,732.641,732.84,732.84,733.34,,,,,,,,,,,,,,0.643,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,144,0,733.341,733.99,m,1,0.643,,[],[],[],[],[],[],[],733.99,735.99,735.99,735.99,[],[],[],[],[],[],[],,,,735.99,735.99,-0.049710983,0.230635838,0,0,0,,0,143,143,101,1,3,word,DELICATE,print,delicate_p.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,735.992,736.19,736.19,736.69,,,,,,,,,,,,,,0.538,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,145,0,736.69,737.24,m,1,0.538,,[],[],[],[],[],[],[],737.24,739.24,739.24,739.24,[],[],[],[],[],[],[],,,,739.24,739.24,-0.049710983,0.230635838,0,0,0,,0,144,144,95,1,3,word,COMEDY,print,comedy_p.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,739.241,739.44,739.44,739.94,,,,,,,,,,,,,,0.776,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,146,0,739.94,740.723,z,1,0.776,,[],[],[],[],[],[],[],740.723,742.723,742.723,742.724,[],[],[],[],[],[],[],,,,742.724,742.724,-0.049710983,0.230635838,0,0,0,,0,145,145,49,1,3,TL,incidate,print,incidate_p.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,742.724,742.923,742.923,743.423,,,,,,,,,,,,,,0.586,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,147,0,743.424,744.023,z,1,0.586,,[],[],[],[],[],[],[],744.023,746.023,746.023,746.023,[],[],[],[],[],[],[],,,,746.023,746.024,-0.049710983,0.230635838,0,0,0,,0,146,146,76,1,3,TL,stogare,cursive,stogare_c.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,746.024,746.223,746.223,746.723,,,,,,,,,,,,,,0.621,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,148,0,746.723,747.357,m,1,0.621,,[],[],[],[],[],[],[],747.357,749.357,749.357,749.357,[],[],[],[],[],[],[],,,,749.357,749.357,-0.049710983,0.230635838,0,0,0,,0,147,147,134,1,3,word,QUALIFY,print,qualify_p.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,749.358,749.556,749.556,750.057,,,,,,,,,,,,,,0.64,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,149,0,750.057,750.707,z,1,0.64,,[],[],[],[],[],[],[],750.707,752.707,752.707,752.707,[],[],[],[],[],[],[],,,,752.707,752.707,-0.049710983,0.230635838,0,0,0,,0,148,148,30,1,3,RL,strapely,print,strapely_p.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,752.708,752.906,752.906,753.406,,,,,,,,,,,,,,0.573,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,150,0,753.406,753.99,z,0,0.573,,[],[],[],[],[],[],[],753.99,755.99,755.99,755.99,[],[],[],[],[],[],[],,,,755.99,755.99,-0.049710983,0.230635838,0,0,0,,0,149,149,110,1,3,word,HERITAGE,cursive,heritage_c.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,755.991,756.19,756.19,756.69,,,,,,,,,,,,,,0.628,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,151,0,756.69,757.323,m,1,0.628,,[],[],[],[],[],[],[],757.324,759.323,759.323,759.323,[],[],[],[],[],[],[],,,,759.323,759.324,-0.049710983,0.230635838,0,0,0,,0,150,150,102,1,3,word,DENSITY,print,density_p.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,759.325,759.523,759.523,760.023,,,,,,,,,,,,,,0.591,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,152,0,760.023,760.623,z,1,0.591,,[],[],[],[],[],[],[],760.623,762.623,762.623,762.623,[],[],[],[],[],[],[],,,,762.623,762.623,-0.049710983,0.230635838,0,0,0,,0,151,151,74,1,3,TL,spemicen,print,spemicen_p.png,,,,
