counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list4_trials.thisRepN,list4_trials.thisTrialN,list4_trials.thisN,list4_trials.thisIndex,list4_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,31704,001,2025-10-15_22h12.01.902,HW_LDT_1,2024.2.4,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,725.9035,726.1016,726.1016,726.6016,,,,,,,,,,,,,,0.9476,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,97,0,726.6023,727.5674,z,1,0.9476,,[],[],[],[],[],[],[],727.5674,729.5683,729.5683,729.5686,[],[],[],[],[],[],[],,729.5686,729.5687,-0.102790799,-0.416497396,0,0,0,,0,96,96,21,1,4,RL,insibate,print,insibate_p.png,,,,,,
,,,,31704,001,2025-10-15_22h12.01.902,HW_LDT_1,2024.2.4,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,729.5701,729.7682,729.7682,730.2682,,,,,,,,,,,,,,1.0468,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,98,0,730.2689,731.335,m,1,1.0468,,[],[],[],[],[],[],[],731.3351,733.3348,733.3349,733.3351,[],[],[],[],[],[],[],,733.3352,733.3353,-0.102790799,-0.416497396,0,0,0,,0,97,97,146,1,4,word,RETIRE,print,retire_p.png,,,,,,
,,,,31704,001,2025-10-15_22h12.01.902,HW_LDT_1,2024.2.4,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,733.3368,733.5348,733.5349,734.0348,,,,,,,,,,,,,,1.1181,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,99,0,734.0354,735.1682,m,1,1.1181,,[],[],[],[],[],[],[],735.1682,737.1682,737.1682,737.1685,[],[],[],[],[],[],[],,737.1686,737.1687,-0.102790799,-0.416497396,0,0,0,,0,98,98,93,1,4,word,CEREMONY,print,ceremony_p.png,,,,,,
,,,,31704,001,2025-10-15_22h12.01.902,HW_LDT_1,2024.2.4,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,737.1701,737.3671,737.3671,737.8676,,,,,,,,,,,,,,1.1034,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,100,0,737.8681,739.0016,z,1,1.1034,,[],[],[],[],[],[],[],739.0016,741.0014,741.0014,741.0017,[],[],[],[],[],[],[],,741.0017,741.0018,-0.102790799,-0.416497396,0,0,0,,0,99,99,42,1,4,RL,revune,print,revune_p.png,,,,,,
,,,,31704,001,2025-10-15_22h12.01.902,HW_LDT_1,2024.2.4,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,741.0034,741.2016,741.2017,741.7016,,,,,,,,,,,,,,1.303,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,101,0,741.7022,743.0348,z,1,1.303,,[],[],[],[],[],[],[],743.035,745.0348,745.0349,745.0351,[],[],[],[],[],[],[],,745.0351,745.0354,-0.102790799,-0.416497396,0,0,0,,0,100,100,66,1,4,TL,opmital,print,opmital_p.png,,,,,,
,,,,31704,001,2025-10-15_22h12.01.902,HW_LDT_1,2024.2.4,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,745.0369,745.2349,745.235,745.7349,,,,,,,,,,,,,,1.2498,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,102,0,745.7355,747.0015,z,1,1.2498,,[],[],[],[],[],[],[],747.0017,749.0016,749.0016,749.0018,[],[],[],[],[],[],[],,749.0018,749.0019,-0.102790799,-0.416497396,0,0,0,,0,101,101,25,1,4,RL,macise,print,macise_p.png,,,,,,
,,,,31704,001,2025-10-15_22h12.01.902,HW_LDT_1,2024.2.4,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,749.0029,749.2015,749.2016,749.7014,,,,,,,,,,,,,,0.9205,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,103,0,749.7019,750.635,m,1,0.9205,,[],[],[],[],[],[],[],750.6351,752.6348,752.6349,752.6351,[],[],[],[],[],[],[],,752.6351,752.6353,-0.102790799,-0.416497396,0,0,0,,0,102,102,84,1,4,word,BELOVED,print,beloved_p.png,,,,,,
,,,,31704,001,2025-10-15_22h12.01.902,HW_LDT_1,2024.2.4,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,752.6367,752.835,752.835,753.3348,,,,,,,,,,,,,,0.869,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,104,0,753.3354,754.2343,m,1,0.869,,[],[],[],[],[],[],[],754.2345,756.235,756.235,756.2352,[],[],[],[],[],[],[],,756.2353,756.2354,-0.102790799,-0.416497396,0,0,0,,0,103,103,119,1,4,word,MEMORY,print,memory_p.png,,,,,,
,,,,31704,001,2025-10-15_22h12.01.902,HW_LDT_1,2024.2.4,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,756.237,756.4349,756.4349,756.9348,,,,,,,,,,,,,,1.413,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,105,1,756.9353,758.3683,z,1,1.413,,[],[],[],[],[],[],[],758.3684,760.3682,760.3683,761.9352,[],[],[],[],[],[],[],z,761.9353,761.9355,-0.102790799,-0.416497396,0,0,0,,0,104,104,16,1,4,RL,desifate,cursive,desifate_c.png,1.5414,,,,,
,,,,31704,001,2025-10-15_22h12.01.902,HW_LDT_1,2024.2.4,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,761.9369,762.1349,762.1349,762.6349,,,,,,,,,,,,,,0.9697,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,106,0,762.6356,763.6345,z,1,0.9697,,[],[],[],[],[],[],[],763.6346,765.6348,765.6348,765.6349,[],[],[],[],[],[],[],,765.635,765.635,-0.102790799,-0.416497396,0,0,0,,0,105,105,23,1,4,RL,linefal,cursive,linefal_c.png,,,,,,
