counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list1_trials.thisRepN,list1_trials.thisTrialN,list1_trials.thisN,list1_trials.thisIndex,list1_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_touch.clicked_name,End.started,End.stopped
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,834.6488,834.8471,834.8472,835.3471,,,,,,,,,,,,,,0.7745,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,143,0,835.3477,836.1305,z,1,0.7745,,[],[],[],[],[],[],[],836.1306,838.1297,838.1298,838.13,[],[],[],[],[],[],[],,838.1301,838.1301,0.070707801,-0.38335657,0,0,0,,0,142,142,37,1,1,RL,skofen,print,skofen_p.png,,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,838.1311,838.3303,838.3303,838.8302,,,,,,,,,,,,,,0.7413,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,144,0,838.8307,839.5804,z,1,0.7413,,[],[],[],[],[],[],[],839.5805,841.5801,841.5802,841.5804,[],[],[],[],[],[],[],,841.5804,841.5805,0.070707801,-0.38335657,0,0,0,,0,143,143,6,1,1,RL,crisival,print,crisival_p.png,,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,841.5815,841.7801,841.7802,842.28,,,,,,,,,,,,,,1.631,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,145,0,842.2805,843.9128,z,1,1.631,,[],[],[],[],[],[],[],843.9129,845.9133,845.9133,845.9134,[],[],[],[],[],[],[],,845.9136,845.9136,0.070707801,-0.38335657,0,0,0,,0,144,144,53,1,1,TL,dentisy,cursive,dentisy_c.png,,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,845.9147,846.1129,846.113,846.6133,,,,,,,,,,,,,,0.7899,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,146,0,846.6138,847.4126,z,1,0.7899,,[],[],[],[],[],[],[],847.4127,849.4132,849.4133,849.4134,[],[],[],[],[],[],[],,849.4134,849.4135,0.070707801,-0.38335657,0,0,0,,0,145,145,13,1,1,RL,linefal,print,linefal_p.png,,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,849.4146,849.6131,849.6132,850.1123,,,,,,,,,,,,,,2.1401,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,147,0,850.1129,852.2624,z,1,2.1401,,[],[],[],[],[],[],[],852.2624,854.2636,854.2637,854.2639,[],[],[],[],[],[],[],,854.2639,854.264,0.070707801,-0.38335657,0,0,0,,0,146,146,35,1,1,RL,senvilent,cursive,senvilent_c.png,,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,854.2652,854.4622,854.4623,854.963,,,,,,,,,,,,,,2.4954,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,148,0,854.9636,857.463,m,1,2.4954,,[],[],[],[],[],[],[],857.4631,859.4628,859.4629,859.4629,[],[],[],[],[],[],[],,859.4631,859.4631,0.070707801,-0.38335657,0,0,0,,0,147,147,108,1,1,word,FORTUNE,print,fortune_p.png,,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,859.4642,859.6628,859.6628,860.1619,,,,,,,,,,,,,,1.2244,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,149,1,860.1624,861.3957,m,1,1.2244,,[],[],[],[],[],[],[],861.3957,863.3959,863.396,865.0457,[],[],[],[],[],[],[],m,865.0458,865.0459,0.070707801,-0.38335657,0,0,0,,0,148,148,156,1,1,word,TRIBUTE,cursive,tribute_c.png,1.6411,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,865.0471,865.2459,865.246,865.7458,,,,,,,,,,,,,,0.8576,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,150,0,865.7463,866.6125,m,1,0.8576,,[],[],[],[],[],[],[],866.6126,868.6124,868.6124,868.6125,[],[],[],[],[],[],[],,868.6126,868.6127,0.070707801,-0.38335657,0,0,0,,0,149,149,122,1,1,word,MOBILE,cursive,mobile_c.png,,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,868.6138,868.8124,868.8124,869.3124,,,,,,,,,,,,,,0.6138,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,151,0,869.3129,869.9291,m,1,0.6138,,[],[],[],[],[],[],[],869.9292,871.9287,871.9288,871.9289,[],[],[],[],[],[],[],,871.9289,871.9292,0.070707801,-0.38335657,0,0,0,,0,150,150,90,1,1,word,CAPITAL,print,capital_p.png,,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,871.9305,872.129,872.129,872.629,,,,,,,,,,,,,,0.7905,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,152,1,872.6296,873.4282,z,1,0.7905,,[],[],[],[],[],[],[],873.4283,875.4289,875.4289,876.5122,[],[],[],[],[],[],[],m,876.5122,876.5126,0.070707801,-0.38335657,0,0,0,,0,151,151,56,1,1,TL,grafetul,print,grafetul_p.png,1.0789,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,876.514,876.7121,876.7121,877.2121,,,,,,,,,,,,,,2.4428,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,153,0,877.2128,879.6618,m,1,2.4428,,[],[],[],[],[],[],[],879.6619,881.6619,881.6619,881.6621,[],[],[],[],[],[],[],,881.6621,881.6622,0.070707801,-0.38335657,0,0,0,,0,152,152,134,1,1,word,QUALIFY,cursive,qualify_c.png,,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,881.6634,881.8619,881.8619,882.3619,,,,,,,,,,,,,,1.6405,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,154,0,882.3623,884.0118,z,1,1.6405,,[],[],[],[],[],[],[],884.012,886.0117,886.0118,886.012,[],[],[],[],[],[],[],,886.012,886.0121,0.070707801,-0.38335657,0,0,0,,0,153,153,36,1,1,RL,speniven,cursive,speniven_c.png,,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,886.0132,886.2116,886.2117,886.7117,,,,,,,,,,,,,,1.2927,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,155,0,886.7123,888.0116,z,1,1.2927,,[],[],[],[],[],[],[],888.0117,890.0115,890.0116,890.0118,[],[],[],[],[],[],[],,890.0118,890.0119,0.070707801,-0.38335657,0,0,0,,0,154,154,71,1,1,TL,regilion,cursive,regilion_c.png,,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,890.0132,890.2114,890.2114,890.7115,,,,,,,,,,,,,,0.6917,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,156,0,890.7117,891.4116,z,1,0.6917,,[],[],[],[],[],[],[],891.4118,893.4114,893.4114,893.4117,[],[],[],[],[],[],[],,893.4117,893.4119,0.070707801,-0.38335657,0,0,0,,0,155,155,42,1,1,TL,befenit,print,befenit_p.png,,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,893.4133,893.6114,893.6114,894.1114,,,,,,,,,,,,,,0.6234,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,157,0,894.1119,894.7448,m,1,0.6234,,[],[],[],[],[],[],[],894.7448,896.7445,896.7446,896.7447,[],[],[],[],[],[],[],,896.7448,896.7449,0.070707801,-0.38335657,0,0,0,,0,156,156,98,1,1,word,CRIMINAL,print,criminal_p.png,,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,896.7459,896.9446,896.9446,897.4445,,,,,,,,,,,,,,1.2901,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,158,0,897.4451,898.7445,m,1,1.2901,,[],[],[],[],[],[],[],898.7446,900.7444,900.7444,900.7446,[],[],[],[],[],[],[],,900.7447,900.7447,0.070707801,-0.38335657,0,0,0,,0,157,157,118,1,1,word,MEDICINE,cursive,medicine_c.png,,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,900.746,900.9444,900.9444,901.4442,,,,,,,,,,,,,,0.8632,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,159,1,901.4445,902.311,m,1,0.8632,,[],[],[],[],[],[],[],902.311,904.3109,904.311,905.5277,[],[],[],[],[],[],[],m,905.5277,905.5277,0.070707801,-0.38335657,0,0,0,,0,158,158,128,1,1,word,PACIFIC,print,pacific_p.png,1.2144,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,905.5289,905.7276,905.7277,906.2275,,,,,,,,,,,,,,2.2937,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,160,0,906.228,908.5275,z,1,2.2937,,[],[],[],[],[],[],[],908.5275,910.5273,910.5274,910.5275,[],[],[],[],[],[],[],,910.5276,910.5276,0.070707801,-0.38335657,0,0,0,,0,159,159,1,1,1,RL,adnicory,cursive,adnicory_c.png,,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910.544,915.5283
